"code";"POINT_X";"POINT_Y";"name"
785;132131,115354;392796,128595;"Goirle"
794;174019,51938;387546,77953;"Helmond"
796;150418,30156;413040,382432;"'s-Hertogenbosch"
797;139652,449828;411946,835773;"Heusden"
798;138510,631796;388457,414691;"Hilvarenbeek"
809;131192,483967;406705,722616;"Loon op Zand"
820;166375,46637;386948,990688;"Nuenen, Gerwen en Nederwetten"
823;148426,713502;389701,647641;"Oirschot"
824;141796,619184;398586,074212;"Oisterwijk"
826;118347,445414;405952,717642;"Oosterhout"
828;164794,235313;420107,839706;"Oss"
840;98648,4147876;394844,317849;"Rucphen"
845;154080,195698;407610,201081;"Sint-Michielsgestel"
847;177474,172219;376955,654913;"Someren"
848;162263,559203;392056,270941;"Son en Breugel"
851;81551,9823718;401272,401408;"Steenbergen"
852;130663,001796;496014,740083;"Waterland"
855;133005,636242;397851,183239;"Tilburg"
858;159476,681836;373615,709901;"Valkenswaard"
861;155717,051254;381033,551771;"Veldhoven"
865;147305,555112;406711,33929;"Vught"
866;160378,777541;378299,760851;"Waalre"
867;131554,014391;410493,311306;"Waalwijk"
873;82410,1396219;380503,542604;"Woensdrecht"
879;104514,816918;388158,822669;"Zundert"
880;116658,421526;501366,255206;"Wormerland"
882;200177,738504;323939,160314;"Landgraaf"
888;184545,094618;327911,660423;"Beek (L.)"
889;202857,415311;365903,079049;"Beesel"
893;202177,046821;401546,22225;"Bergen (L.)"
899;195599,489072;328301,614112;"Brunssum"
907;195866,646417;412230,642425;"Gennep"
917;195788,526652;323395,353183;"Heerlen"
928;201934,905724;319981,263508;"Kerkrade"
935;176577,607028;317664,707733;"Maastricht"
938;180499,30778;323041,198271;"Meerssen"
944;189386,53575;418683,63127;"Mook en Middelaar"
946;181370,561444;366437,357812;"Nederweert"
957;198011,074352;356307,092533;"Roermond"
965;197607,254706;315470,214008;"Simpelveld"
971;181813,982378;331086,708606;"Stein (L.)"
981;198711,481032;309580,02086;"Vaals"
983;208702,155502;375863,805904;"Venlo"
984;196494,797585;392880,510622;"Venray"
986;192362,286508;320621,073646;"Voerendaal"
988;177399,409709;361888,301429;"Weert"
994;185717,132328;319329,475957;"Valkenburg aan de Geul"
995;160890,346737;502157,746241;"Lelystad"
1507;201766,990487;384415,979079;"Horst aan de Maas"
1509;224220,800376;435835,40357;"Oude IJsselstreek"
1525;94742,2801334;470532,629691;"Teylingen"
1581;152746,417022;450083,92376;"Utrechtse Heuvelrug"
1586;236825,41668;447389,862425;"Oost Gelre"
1598;124343,106454;517487,136933;"Koggenland"
1621;93574,9538668;445673,637577;"Lansingerland"
1640;191082,935759;360621,310633;"Leudal"
1641;190031,807921;352145,542805;"Maasgouw"
1652;177814,229007;395152,250223;"Gemert-Bakel"
1655;95121,152804;399938,672445;"Halderberge"
1658;167816,865744;375615,650707;"Heeze-Leende"
1659;171184,904204;392986,373561;"Laarbeek"
1667;139031,931068;376059,358577;"Reusel-De Mierden"
1669;199735,660437;350366,583731;"Roerdalen"
1674;90266,0568248;393473,216586;"Roosendaal"
1676;52059,746885;411391,988149;"Schouwen-Duiveland"
1680;245673,08998;558279,072721;"Aa en Hunze"
1681;254933,229292;547929,010531;"Borger-Odoorn"
1690;221112,691592;523949,735241;"De Wolden"
1695;42112,6599693;399868,027489;"Noord-Beveland"
1696;135336,415439;470977,980454;"Wijdemeren"
1699;225139,56425;570939,541637;"Noordenveld"
1700;236420,385439;495407,884064;"Twenterand"
1701;214759,902206;538548,131642;"Westerveld"
1705;192584,970702;435917,695938;"Lingewaard"
1706;168801,764907;365671,995346;"Cranendonck"
1708;200725,89985;531097,404286;"Steenwijkerland"
1709;97144,5185887;407437,711923;"Moerdijk"
1711;189361,293881;343914,217604;"Echt-Susteren"
1714;22817,6549878;375242,874545;"Sluis"
1719;111903,53536;409668,207506;"Drimmelen"
1721;164340,233922;412224,030299;"Bernheze"
1723;120506,339968;390096,089304;"Alphen-Chaam"
1724;153081,76117;370109,269109;"Bergeijk"
1728;144434,743434;375937,504247;"Bladel"
1729;191374,040391;313481,794102;"Gulpen-Wittem"
1730;236897,555804;569772,487081;"Tynaarlo"
1731;231343,705532;544481,0481;"Midden-Drenthe"
1734;183355,110073;437362,841425;"Overbetuwe"
1735;238075,139069;472783,029549;"Hof van Twente"
1740;169371,33662;437030,733802;"Neder-Betuwe"
1742;229956,465164;479482,737986;"Rijssen-Holten"
1771;168105,722475;381969,74225;"Geldrop-Mierlo"
1773;205918,958654;485926,343893;"Olst-Wijhe"
1774;260402,569177;488652,659454;"Dinkelland"
1783;74478,2870402;446787,12818;"Westland"
1842;80709,8426407;443287,046622;"Midden-Delfland"
1859;236291,025183;458422,011673;"Berkelland"
1876;217788,376402;451115,255394;"Bronckhorst"
1883;187049,963158;333840,384128;"Sittard-Geleen"
1884;103245,903462;468180,722062;"Kaag en Braassem"
1891;196308,984413;587101,326357;"Dantumadiel"
1892;101965,045282;444769,552317;"Zuidplas"
1894;197585,049142;371792,953065;"Peel en Maas"
1895;265274,971135;576548,594623;"Oldambt"
1896;201122,863804;514422,105691;"Zwartewaterland"
1900;167880,613379;560107,213179;"Súdwest-Fryslân"
1901;111243,924194;453433,367025;"Bodegraven-Reeuwijk"
1903;181200,907749;312311,690528;"Eijsden-Margraten"
1904;130122,697617;463332,294452;"Stichtse Vecht"
